285,2/10/2020,"1,324.27",4.28,0.32%
286,2/9/2020,"1,319.99",-13.7,-1.03%
287,2/6/2020,"1,333.69",-8.67,-0.65%
288,2/5/2020,"1,342.36",5.31,0.40%
289,2/4/2020,"1,337.05",-12.09,-0.90%
290,2/3/2020,"1,349.14",2.49,0.18%
291,2/2/2020,"1,346.65",21.26,1.60%
292,1/30/2020,"1,325.39",19.51,1.49%
293,1/29/2020,"1,305.88",-0.27,-0.02%
294,1/28/2020,"1,306.15",5.52,0.42%
295,1/27/2020,"1,300.63",23.95,1.88%
296,1/26/2020,"1,276.68",-20.79,-1.60%
297,1/23/2020,"1,297.48",-15.95,-1.21%
298,1/22/2020,"1,313.42",-7.05,-0.53%
299,1/21/2020,"1,320.47",3.36,0.26%
300,1/20/2020,"1,317.12",-26.54,-1.98%
301,1/19/2020,"1,343.66",33.43,2.55%
302,1/16/2020,"1,310.23",26,2.02%
303,1/15/2020,"1,284.23",20.85,1.65%
304,1/14/2020,"1,263.38",-7.48,-0.59%
305,1/13/2020,"1,270.87",15.14,1.21%
306,1/12/2020,"1,255.72",42.61,3.51%
307,1/9/2020,"1,213.12",3.51,0.29%
308,1/8/2020,"1,209.60",-7.32,-0.60%
309,1/7/2020,"1,216.93",16.23,1.35%
310,1/6/2020,"1,200.70",18.26,1.54%
311,1/5/2020,"1,182.31",16.09,1.38%
312,1/2/2020,"1,166.22",-3.29,-0.28%
313,1/1/2020,"1,169.50",3.47,0.30%
314,12/31/2019,"1,166.04",-1.92,-0.16%
315,12/30/2019,"1,167.96",5.53,0.48%
316,12/29/2019,"1,162.43",-4.99,-0.43%
317,12/26/2019,"1,167.42",-0.62,-0.05%
318,12/25/2019,"1,168.04",1.82,0.16%
319,12/24/2019,"1,166.22",-2.37,-0.20%
320,12/23/2019,"1,168.58",17.77,1.54%
321,12/22/2019,"1,150.82",1.17,0.10%
322,12/19/2019,"1,149.65",-2.42,-0.21%
323,12/18/2019,"1,152.07",-3.3,-0.29%
324,12/17/2019,"1,155.38",1.26,0.11%
325,12/16/2019,"1,154.12",-13.75,-1.18%
326,12/15/2019,"1,167.87",-4.78,-0.41%
327,12/12/2019,"1,172.65",11.17,0.96%
328,12/11/2019,"1,161.48",10.11,0.88%
329,12/10/2019,"1,151.37",2.48,0.22%
330,12/9/2019,"1,148.89",13.51,1.19%
331,12/8/2019,"1,135.38",3.45,0.31%
332,12/5/2019,"1,131.92",7.45,0.66%
333,12/4/2019,"1,124.47",8.73,0.78%
334,12/3/2019,"1,115.75",3.75,0.34%
335,12/2/2019,"1,111.99",-0.86,-0.08%
336,12/1/2019,"1,112.86",0.07,0.01%
337,11/28/2019,"1,112.79",-4.67,-0.42%
338,11/27/2019,"1,117.46",8.3,0.75%
339,11/26/2019,"1,109.17",-0.91,-0.08%
340,11/25/2019,"1,110.08",0,0.00%
341,11/24/2019,"1,110.08",-10.54,-0.94%
342,11/21/2019,"1,120.60",-7.74,-0.69%
343,11/20/2019,"1,128.34",-1.65,-0.15%
344,11/19/2019,"1,129.99",-1.14,-0.10%
345,11/18/2019,"1,131.13",-0.24,-0.02%
346,11/17/2019,"1,131.36",-4.59,-0.40%
347,11/14/2019,"1,135.95",0.79,0.07%
348,11/13/2019,"1,135.16",-4.8,-0.42%
349,11/12/2019,"1,139.96",-5.61,-0.49%
350,11/11/2019,"1,145.57",13.77,1.22%
351,11/10/2019,"1,131.80",-0.18,-0.02%
352,11/7/2019,"1,131.97",-6.05,-0.53%
353,11/6/2019,"1,138.02",-1.44,-0.13%
354,11/5/2019,"1,139.46",-0.81,-0.07%
355,11/4/2019,"1,140.26",0.97,0.09%
